Ref,Val,Package,PosX,PosY,Rot,Side
"U1","BH-AAA-B5AA005","BAT-SMD_BH-AAA-B5AA005",120.000000,-132.500000,-90.000000,bottom
"C1","TAJA226M010RNJ","CAPMP3216X180N",134.621605,-139.090000,90.000000,top
"C2","4.7uF","C_0603_1608Metric",123.870000,-125.935000,90.000000,top
"C3","4.7uF","C_0603_1608Metric",123.940000,-136.620000,-90.000000,top
"C4","0.1uF","R_0603_1608Metric",122.265000,-125.935000,90.000000,top
"C5","10uF","R_0603_1608Metric",122.320000,-136.620000,-90.000000,top
"D1","1N5817WS_C727114","SOD-323_L1.8-W1.3-LS2.5-FD",134.621605,-143.982804,90.000000,top
"J1","Conn_02x05_Odd_Even","PinHeader_2x05_P2.54mm_Vertical",133.500000,-110.390000,0.000000,top
"LS1","Speaker","Speaker_SMD",120.000000,-160.195000,0.000000,top
"LS2","Speaker","Speaker_TH",120.000000,-151.560000,0.000000,top
"R1","10K","R_0603_1608Metric",110.910000,-113.370000,90.000000,top
"S1","MX1A-11NN","SW_MX1A-11NN",120.000000,-115.080000,0.000000,top
"U2","ISD2360YYI","TQFN-32_L5.0-W5.0-P0.50-BL-EP3.5",120.000000,-130.925000,-90.000000,top
